time_iso8601,stars_cumulative
2023-11-17 00:00:00+00:00,840
2023-11-21 00:00:00+00:00,842
2023-11-23 00:00:00+00:00,843
2023-11-27 00:00:00+00:00,844
2023-12-01 00:00:00+00:00,845
2023-12-05 00:00:00+00:00,846
2023-12-08 00:00:00+00:00,847
2023-12-11 00:00:00+00:00,848
2023-12-14 00:00:00+00:00,849
2023-12-16 00:00:00+00:00,850
2023-12-19 00:00:00+00:00,851
2023-12-23 00:00:00+00:00,852
2023-12-28 00:00:00+00:00,853
2023-12-29 00:00:00+00:00,854
2024-01-01 00:00:00+00:00,855
2024-01-07 00:00:00+00:00,856
2024-01-08 00:00:00+00:00,857
2024-01-10 00:00:00+00:00,858
2024-01-12 00:00:00+00:00,859
2024-01-25 00:00:00+00:00,860
2024-02-11 00:00:00+00:00,862
2024-02-18 00:00:00+00:00,863
2024-02-21 00:00:00+00:00,864
2024-02-25 00:00:00+00:00,866
2024-02-27 00:00:00+00:00,868
2024-03-06 00:00:00+00:00,869
2024-03-15 00:00:00+00:00,871
2024-03-24 00:00:00+00:00,872
2024-04-06 00:00:00+00:00,874
2024-04-08 00:00:00+00:00,875
2024-04-09 00:00:00+00:00,876
2024-04-13 00:00:00+00:00,877
2024-04-18 00:00:00+00:00,878
2024-04-19 00:00:00+00:00,879
2024-04-27 00:00:00+00:00,880
2024-05-02 00:00:00+00:00,881
2024-05-08 00:00:00+00:00,882
2024-05-22 00:00:00+00:00,883
2024-05-26 00:00:00+00:00,884
2024-06-03 00:00:00+00:00,885
2024-06-04 00:00:00+00:00,887
2024-06-05 00:00:00+00:00,888
2024-06-17 00:00:00+00:00,889
2024-06-18 00:00:00+00:00,890
2024-07-09 00:00:00+00:00,891
2024-07-18 00:00:00+00:00,892
2024-07-21 00:00:00+00:00,893
2024-07-30 00:00:00+00:00,894
2024-08-03 00:00:00+00:00,895
2024-08-04 00:00:00+00:00,896
2024-08-09 00:00:00+00:00,897
2024-08-12 00:00:00+00:00,898
2024-08-15 00:00:00+00:00,899
2024-08-20 00:00:00+00:00,900
2024-08-21 00:00:00+00:00,901
2024-08-22 00:00:00+00:00,902
2024-08-23 00:00:00+00:00,903
2024-09-05 00:00:00+00:00,904
2024-09-09 00:00:00+00:00,906
2024-09-17 00:00:00+00:00,907
2024-09-29 00:00:00+00:00,908
2024-10-06 00:00:00+00:00,909
2024-10-07 00:00:00+00:00,910
2024-10-12 00:00:00+00:00,911
2024-10-16 00:00:00+00:00,912
2024-11-06 00:00:00+00:00,913
2024-11-10 00:00:00+00:00,915
2024-11-11 00:00:00+00:00,916
2024-11-13 00:00:00+00:00,918
2024-11-14 00:00:00+00:00,919
2024-12-09 00:00:00+00:00,920
2024-12-19 00:00:00+00:00,921
2024-12-24 00:00:00+00:00,922
2025-01-07 00:00:00+00:00,923
2025-01-14 00:00:00+00:00,924
2025-02-01 00:00:00+00:00,925
2025-02-13 00:00:00+00:00,926
2025-02-19 00:00:00+00:00,927
2025-03-13 00:00:00+00:00,928
2025-03-14 00:00:00+00:00,929
2025-03-29 00:00:00+00:00,930
2025-04-19 00:00:00+00:00,931
2025-04-27 00:00:00+00:00,932
2025-05-03 00:00:00+00:00,933
